,source_language,split,target_language
11419,"you 're not ready yet , are you ?",train,"vous n'êtes pas encore prêts , n'est-ce pas ?"
11420,you 're bright .,train,tu es brillante .
11421,you 're twisting my words .,train,tu déformes mes paroles .
11422,"you 're depressed , are n't you ?",train,"vous êtes déprimées , n'est-ce pas ?"
11423,you 're always saying that .,train,vous dites toujours ça .
11424,you 're the one that went crazy .,train,c'est vous qui vous vous êtes emballé .
11425,"you 're one of them , are n't you ?",train,"vous êtes l'une d'elles , n'est-ce pas ?"
11426,you 're grumpy .,train,vous êtes bougonne .
11427,you 're not dead .,train,tu n'es pas morte .
11428,you 're very good .,train,vous êtes fort bon .
11429,you 're very emotional .,train,tu es fort émotive .
11430,you 're overworked .,train,tu es surmené .
11431,you 're too tense .,train,tu es trop tendu .
11432,you 're not that old .,train,vous n'êtes pas si vieux .
11433,you 're very emotional .,train,vous êtes très émotif .
11434,you 're disloyal .,train,vous êtes déloyaux .
11435,you 're just being diplomatic .,train,tu veux juste paraître diplomate .
11436,you 're supposed to help your friends when they 're in trouble .,train,on est supposé aider ses amis lorsqu'ils sont dans la mouise .
11437,you 're not very good .,train,vous n'êtes pas très bon .
11438,you 're not supposed to be in here .,train,tu n'es pas censée être là-dedans .
11439,you 're a great guy .,train,vous êtes un bon gars .
11440,you 're very sophisticated .,train,tu es très élégant .
11441,you 're not bruised .,train,vous n'êtes pas contusionnées .
11442,you 're a man now .,train,tu es désormais un homme .
11443,you 're fascinating .,train,vous êtes fascinantes .
11444,you 're no singer .,train,vous n'êtes pas chanteur .
11445,you 're kidding !,train,vous me faites marcher !
11446,you 're the same age as my girlfriend .,train,tu as le même âge que ma copine .
11447,you 're powerless .,train,tu es dépourvu de pouvoir .
11448,you 're a little late .,train,tu es un peu en retard .
11449,you 're very attractive .,train,vous êtes fort attirant .
11450,you 're very upset .,train,tu es très contrarié .
11451,you 're fired .,train,tu es licencié .
11452,you 're really annoying .,train,vous êtes vraiment embêtantes .
11453,you 're the one who planted that tree .,train,tu es celui qui a planté cet arbre .
11454,you 're no saint .,train,tu n'es pas une sainte .
11455,you 're not welcome here .,train,vous n'êtes pas la bienvenue ici .
11456,you 're very nice .,train,vous êtes très gentils .
11457,you 're very clever .,train,vous êtes fort ingénieuse .
11458,you 're very wise .,train,vous êtes fort avisé .
11459,you 're not allowed to eat those .,train,tu n'es pas autorisé à manger ceux-là .
11460,"you 're disappointed , are n't you ?",train,"vous êtes déçu , n'est-ce pas ?"
11461,you 're very open .,train,vous êtes très ouvert .
11462,you 're grounded .,train,vous êtes terre-à-terre .
11463,you 're kind of cute .,train,"vous êtes mignonnes , dans votre genre ."
11464,you 're the most beautiful woman i 've ever seen .,train,tu es la plus belle femme qu'il m'ait été donné de voir .
11465,you 're not dead yet .,train,vous n'êtes pas encore mort .
11466,you 're the master .,train,c'est toi le maître .
11467,"you 're not ready yet , are you ?",train,"vous n'êtes pas encore prête , n'est-ce pas ?"
11468,you 're in luck .,train,vous êtes veinards .
11469,you 're stuck .,train,vous êtes plantés .
11470,you 're preaching to the choir .,train,vous prêchez des convaincus .
11471,you 're cruel .,train,vous êtes cruel .
11472,you 're sneaky .,train,tu es sournois .
11473,you 're very clever .,train,vous êtes fort habiles .
11474,you 're not alone anymore .,train,tu n'es plus seule .
11475,you 're not making this easy .,train,tu ne rends pas ça facile .
11476,you 're all the same .,train,vous êtes toutes pareilles .
11477,you 're very intelligent .,train,vous êtes très intelligent .
11478,"you 're still mad , are n't you ?",train,"tu es encore en colère , n'est-ce pas ?"
11479,you 're upset .,train,tu es contrarié .
11480,you 're amusing .,train,vous me faites marrer .
11481,you 're not being rational .,train,vous n'êtes pas rationnelles .
11482,"you 're new here , are n't you ?",train,"vous êtes nouveau ici , n'est-ce pas ?"
11483,you 're not bruised .,train,tu n'es pas contusionné .
11484,you 're the teacher .,train,c'est toi le prof .
11485,you 're the most handsome man i 've ever seen .,train,tu es le plus bel homme qu'il m'ait été donné de voir .
11486,you 're off the hook .,train,vous êtes tirés d'affaire .
11487,you 're the boss .,train,vous êtes le chef .
11488,you 're turning thirty .,train,tu entres dans la trentaine .
11489,you 're unambitious .,train,tu es dépourvue d'ambition .
11490,you 're always nagging me .,train,vous êtes toujours en train de me tarabuster .
11491,you 're clever .,train,vous êtes maline .
11492,you 're a wonderful woman .,train,vous êtes une femme formidable !
11493,you 're very intelligent .,train,tu es très intelligent .
11494,you 're not helping much .,train,vous n'aidez pas beaucoup .
11495,you 're conscientious .,train,vous êtes consciencieux .
11496,you 're a smart boy .,train,tu es un garçon malin .
11497,you 're probably tired after such a long flight .,train,vous êtes probablement fatigué après un vol aussi long .
11498,you 're driving too fast .,train,vous conduisez trop vite .
11499,you 're a funny gal .,train,t'es une drôle de fille .
11500,you 're in luck .,train,vous êtes veinarde .
11501,you 're pulling my leg .,train,vous me faites marcher .
11502,you 're not supposed to eat on the job .,train,vous n'êtes pas supposée manger sur le lieu de travail .
11503,you 're doing it right .,train,vous le faites comme il faut .
11504,you 're not young anymore .,train,vous n'êtes plus jeunes .
11505,you 're the last person i expected to see here .,train,vous êtes la dernière personne que je m'attendrais voir ici .
11506,you 're silly .,train,vous êtes idiotes .
11507,you 're clever .,train,vous êtes malines .
11508,you 're wearing my pajamas .,train,tu portes mon pyjama .
11509,you 're not that old .,train,vous n'êtes pas si vieille .
11510,you 're fair .,train,vous êtes justes .
11511,you 're doing it right .,train,vous le faites correctement .
11512,you 're making a terrible mistake .,train,vous faites une grossière erreur .
11513,"you 're wealthy , are n't you ?",train,"vous êtes riches , n'est-ce pas ?"
11514,you 're naive .,train,tu es naïve .
11515,you 're so mean .,train,vous êtes si méchant .
11516,you 're totally right .,train,vous avez parfaitement raison .
11517,you 're hiding something .,train,vous cachez quelque chose .
11518,you 're fearless .,train,vous êtes intrépide .
11519,you 're very funny .,train,tu es fort drôle .
11520,"you 're impressed , are n't you ?",train,"vous êtes impressionnée , n'est-ce pas ?"
11521,you 're mistaken . that 's not what i said .,train,vous vous trompez . ce n'est pas ce que j'ai dit .
11522,you 're the only person i know that ca n't swim .,train,tu es la seule personne que je connaisse qui ne sache pas nager .
11523,you 're not good at this .,train,vous n'y êtes pas bonne .
11524,you 're very funny .,train,vous êtes fort drôle .
11525,you 're not allowed to park here .,train,tu n'es pas autorisée à te garer ici .
11526,you 're either with me or you 're against me .,train,"soit tu es avec moi , soit tu es contre moi ."
11527,you 're so sweet .,train,vous êtes si gentils !
11528,"you 're not one of us , are you ?",train,"tu n'es pas des nôtres , si ?"
11529,you 're pretty good .,train,t'es assez bon .
11530,you 're extroverted .,train,vous êtes extraverti .
11531,you 're doing all you can .,train,vous faites tout ce que vous pouvez .
11532,you 're back .,train,tu es de retour .
11533,you 're so sweet .,train,vous êtes tellement gentille !
11534,you 're very beautiful .,train,vous êtes très belle .
11535,"you 're still mad , are n't you ?",train,"vous êtes encore en colère , n'est-ce pas ?"
11536,you 're not normal .,train,vous n'êtes pas normal .
11537,you 're very clever .,train,tu es fort ingénieuse .
11538,you 're very brave .,train,tu es fort courageuse .
11539,you 're not alone anymore .,train,vous n'êtes plus seul .
11540,you 're over-analyzing .,train,tu analyses trop .
11541,you 're not the first .,train,tu n'es pas la première .
11542,"you 're not tired , are you ?",train,"vous n'êtes pas fatigué , si ?"
11543,you 're unforgettable .,train,tu es inoubliable .
11544,"you 're picky , are n't you ?",train,"tu es difficile , pas vrai ?"
11545,"you 're the champion , are n't you ?",train,"vous êtes le champion , n'est-ce pas ?"
11546,you 're not interrupting anything .,train,vous n'interrompez rien du tout .
11547,you 're wrong .,train,tu as tort .
11548,you 're not alone .,train,vous n'êtes pas seule .
11549,you 're totally ignorant .,train,tu es complètement ignorante .
11550,you 're not normal .,train,vous n'êtes pas normaux .
11551,you 're not easy to find .,train,tu n'es pas facile à trouver .
11552,you 're the only person i know who can probably answer this question .,train,vous êtes la seule personne qui sait probablement répondre à cette question .
11553,you 're just like your mother .,train,tu es exactement comme ta mère .
11554,you 're not being rational .,train,tu n'es pas rationnelle .
11555,you 're the only person who shows me any respect .,train,vous êtes la seule personne à me témoigner un quelconque respect .
11556,you 're part of the problem .,train,vous faites partie du problème .
11557,you 're arrogant .,train,vous êtes arrogants .
11558,you 're in big trouble .,train,tu es dans la merde .
11559,you 're out of luck .,train,ta chance est épuisée .
11560,you 're resilient .,train,tu es endurante .
11561,you 're the one who trained me .,train,tu es celui qui m'a entraînée .
11562,"you 're not really a millionaire , are you ?",train,"tu n'es pas vraiment millionnaire , si ?"
11563,you 're not as good as you think you are .,train,tu n'es pas aussi bon que tu penses l'être .
11564,"you 're disappointed , are n't you ?",train,"tu es déçu , n'est-ce pas ?"
11565,you 're not even paying attention .,train,vous ne prêtez même pas attention .
11566,you 're wasting my time .,train,vous êtes en train de gaspiller mon temps .
11567,you 're a funny guy .,train,vous êtes un drôle de spécimen .
11568,you 're assertive .,train,tu sais te faire comprendre .
11569,"you 're not ready yet , are you ?",train,"vous n'êtes pas encore prêt , n'est-ce pas ?"
11570,you 're too trusting .,train,tu es trop confiante .
11571,you 're very astute .,train,tu es très astucieuse .
11572,you 're clever .,train,tu es malin .
11573,you 're the best .,train,vous êtes la meilleure .
11574,you 're not dead .,train,vous n'êtes pas mortes .
11575,you 're a terrible person .,train,tu es un horrible individu .
11576,you 're testing my patience .,train,vous mettez ma patience à l'épreuve .
11577,you 're probably too young to understand what 's happening .,train,vous êtes probablement trop jeune pour comprendre ce qui arrive .
11578,you 're first .,train,vous êtes en premier .
11579,you 're very emotional .,train,tu es fort émotif .
11580,you 're pulling my leg .,train,tu me fais marcher .
11581,you 're impatient .,train,tu es impatiente .
11582,you 're very attractive .,train,vous êtes très attirant .
11583,you 're sneaky .,train,vous êtes sournois .
11584,you 're the only person i know besides me who likes to do that .,train,vous êtes la seule personne que je connaisse à part moi qui aime faire ça .
